,Tel,Price,Metrdist,N,lon,Bal,Kitsp,lat,Brick,Totsp,Walk,Dist,Livesp,Rooms,District,New,Nfloors,Floor
2238,1.0,4550000,17,2238,37.647657,1.0,7,55.874981,0.0,33,1.0,1.2789578489114066,17,1,0,0.0,12,9
2239,1.0,4600000,10,2239,37.69401,,"6,6",55.87188,0.0,33,1.0,1.2789578489114066,"18,8",1,0,0.0,9,4
2240,,4600000,9,2240,37.590693,,–,55.804072,1.0,31,1.0,1.2789578489114066,18,1,0,,46,3
2241,,4331000,8,2241,37.597562,1.0,"8,7",55.879981,1.0,"35,5",1.0,1.2789578489114066,"13,5",1,0,,20,13
2242,,5232300,8,2242,37.597562,1.0,"6,5",55.879981,1.0,"48,9",1.0,1.2789578489114066,"28,7",2,0,,20,4
2243,1.0,12029940,15,2243,37.673843,1.0,12,55.864788,,"68,9",1.0,1.2789578489114066,"33,2",2,0,,14,2
2244,,3127280,8,2244,37.597562,,–,55.879981,1.0,"24,8",1.0,1.2789578489114066,"17,4",1,0,,20,18
2245,1.0,3224000,8,2245,37.596489,1.0,6,55.879824,1.0,"24,8",1.0,1.2789578489114066,"11,4",1,0,0.0,20,17
2246,1.0,3450000,10,2246,37.548865,1.0,"7,1",55.925023,1.0,31,0.0,1.2789578489114066,"23,5",1,0,,8,6
2247,1.0,3550000,14,2247,37.717726,,4,55.878511,1.0,23,0.0,1.2789578489114066,"14,6",1,0,0.0,5,5
2248,1.0,3600000,20,2248,37.639779,0.0,–,55.888952,1.0,"28,7",1.0,1.2789578489114066,18,1,0,0.0,6,4
2249,0.0,3950000,24,2249,37.639779,0.0,–,55.888952,1.0,33,1.0,1.2789578489114066,27,1,0,0.0,7,7
2250,,4061875,8,2250,37.597562,,"9,9",55.879981,1.0,"33,5",1.0,1.2789578489114066,"13,9",1,0,,20,20
2251,0.0,4200000,,2251,37.550217,1.0,"12,5",55.9203,,"40,1",,1.2789578489114066,17,1,0,0.0,9,4
2252,,4331000,8,2252,37.597261,1.0,10,55.880065,1.0,"35,5",1.0,1.2789578489114066,14,1,0,,17,4
2253,1.0,4350000,,2253,37.716576,,"7,5",55.873753,0.0,"35,2",,1.2789578489114066,"19,5",1,0,,4,1
2254,1.0,4400000,20,2254,37.715606,,6,55.870587,,33,0.0,1.2789578489114066,19,1,0,0.0,9,8
2255,1.0,4400000,9,2255,37.623784,1.0,9,55.850472,1.0,32,0.0,1.2789578489114066,17,1,0,,18,11
2256,1.0,4400000,15,2256,37.718588,,"3,4",55.879763,1.0,"23,3",0.0,1.2789578489114066,"15,5",1,0,0.0,5,1
2257,,4414000,5,2257,37.590693,,–,55.804072,1.0,"28,5",1.0,1.2789578489114066,15,1,0,,46,7
2258,,4443376,8,2258,37.597562,,"13,6",55.879981,1.0,"40,9",1.0,1.2789578489114066,"16,5",1,0,,20,13
2259,1.0,4446000,8,2259,37.597261,1.0,12,55.880065,1.0,"39,7",1.0,1.2789578489114066,"15,5",1,0,,20,4
2260,1.0,4475000,5,2260,37.690444,,"5,9",55.885999,,"32,6",0.0,1.2789578489114066,"18,9",1,0,0.0,9,1
2261,1.0,4500000,25,2261,37.667393,,"5,8",55.83525,,"30,1",1.0,1.2789578489114066,"18,4",1,0,0.0,5,1
2262,1.0,4500000,5,2262,37.669441,1.0,9,55.869142,1.0,38,1.0,1.2789578489114066,16,1,0,,17,15
2263,0.0,4500000,20,2263,37.639779,,10,55.888952,1.0,33,1.0,1.2789578489114066,20,1,0,0.0,6,4
2264,1.0,4500000,15,2264,37.715606,,"6,7",55.870587,0.0,"32,6",0.0,1.2789578489114066,"18,8",1,0,0.0,9,9
2265,,4530288,8,2265,37.597562,,"13,6",55.879981,1.0,"41,7",1.0,1.2789578489114066,"17,3",1,0,,20,18
2266,1.0,4550000,17,2266,37.647657,1.0,7,55.874981,0.0,33,1.0,1.2789578489114066,17,1,0,0.0,12,9
2267,1.0,4600000,10,2267,37.69401,,"6,6",55.87188,0.0,33,1.0,1.2789578489114066,"18,8",1,0,0.0,9,4
2268,,4600000,9,2268,37.590693,,–,55.804072,1.0,31,1.0,1.2789578489114066,18,1,0,,46,3
2269,1.0,4790000,10,2269,37.689536,,7,55.88308,0.0,34,0.0,1.2789578489114066,19,1,0,,9,7
2270,,5499800,8,2270,37.597562,1.0,"9,9",55.879981,1.0,"51,4",1.0,1.2789578489114066,"25,7",2,0,,20,16
2271,1.0,7223040,15,2271,37.68491,0.0,10,55.872238,1.0,"43,2",1.0,1.2789578489114066,"18,5",1,0,,12,3
2272,,3127280,8,2272,37.597562,,–,55.879981,1.0,"24,8",1.0,1.2789578489114066,"17,4",1,0,,20,18
2273,1.0,3224000,8,2273,37.596489,1.0,6,55.879824,1.0,"24,8",1.0,1.2789578489114066,"11,4",1,0,0.0,20,17
2274,1.0,3450000,10,2274,37.548865,1.0,"7,1",55.925023,1.0,31,0.0,1.2789578489114066,"23,5",1,0,,8,6
2275,1.0,3550000,14,2275,37.717726,,4,55.878511,1.0,23,0.0,1.2789578489114066,"14,6",1,0,0.0,5,5
2276,1.0,3600000,20,2276,37.639779,0.0,–,55.888952,1.0,"28,7",1.0,1.2789578489114066,18,1,0,0.0,6,4
2277,0.0,3950000,24,2277,37.639779,0.0,–,55.888952,1.0,33,1.0,1.2789578489114066,27,1,0,0.0,7,7
2278,,4061875,8,2278,37.597562,,"9,9",55.879981,1.0,"33,5",1.0,1.2789578489114066,"13,9",1,0,,20,20
2279,0.0,4200000,,2279,37.550217,1.0,"12,5",55.9203,,"40,1",,1.2789578489114066,17,1,0,0.0,9,4
2280,,4331000,8,2280,37.597261,1.0,10,55.880065,1.0,"35,5",1.0,1.2789578489114066,14,1,0,,17,4
2281,1.0,4350000,,2281,37.716576,,"7,5",55.873753,0.0,"35,2",,1.2789578489114066,"19,5",1,0,,4,1
2282,1.0,4400000,20,2282,37.715606,,6,55.870587,,33,0.0,1.2789578489114066,19,1,0,0.0,9,8
2283,1.0,4400000,9,2283,37.623784,1.0,9,55.850472,1.0,32,0.0,1.2789578489114066,17,1,0,,18,11
2284,1.0,4400000,15,2284,37.718588,,"3,4",55.879763,1.0,"23,3",0.0,1.2789578489114066,"15,5",1,0,0.0,5,1
2285,,4414000,5,2285,37.590693,,–,55.804072,1.0,"28,5",1.0,1.2789578489114066,15,1,0,,46,7
2286,,4443376,8,2286,37.597562,,"13,6",55.879981,1.0,"40,9",1.0,1.2789578489114066,"16,5",1,0,,20,13
2287,1.0,4446000,8,2287,37.597261,1.0,12,55.880065,1.0,"39,7",1.0,1.2789578489114066,"15,5",1,0,,20,4
2288,1.0,4475000,5,2288,37.690444,,"5,9",55.885999,,"32,6",0.0,1.2789578489114066,"18,9",1,0,0.0,9,1
2289,1.0,4500000,25,2289,37.667393,,"5,8",55.83525,,"30,1",1.0,1.2789578489114066,"18,4",1,0,0.0,5,1
2290,1.0,4500000,5,2290,37.669441,1.0,9,55.869142,1.0,38,1.0,1.2789578489114066,16,1,0,,17,15
2291,0.0,4500000,20,2291,37.639779,,10,55.888952,1.0,33,1.0,1.2789578489114066,20,1,0,0.0,6,4
2292,1.0,4500000,15,2292,37.715606,,"6,7",55.870587,0.0,"32,6",0.0,1.2789578489114066,"18,8",1,0,0.0,9,9
2293,,4530288,8,2293,37.597562,,"13,6",55.879981,1.0,"41,7",1.0,1.2789578489114066,"17,3",1,0,,20,18
2294,1.0,4550000,17,2294,37.647657,1.0,7,55.874981,0.0,33,1.0,1.2789578489114066,17,1,0,0.0,12,9
2295,1.0,4600000,10,2295,37.69401,,"6,6",55.87188,0.0,33,1.0,1.2789578489114066,"18,8",1,0,0.0,9,4
2296,,4600000,9,2296,37.590693,,–,55.804072,1.0,31,1.0,1.2789578489114066,18,1,0,,46,3
2297,,5499800,8,2297,37.597562,1.0,"9,9",55.879981,1.0,"51,4",1.0,1.2789578489114066,"25,7",2,0,,20,16
2298,1.0,9300000,11,2298,37.601142,1.0,9,55.78849,,38,1.0,1.2789578489114066,19,1,0,0.0,16,13
2299,,4446400,8,2299,37.597562,,"15,2",55.879981,1.0,"39,7",1.0,1.2789578489114066,"11,8",1,0,,20,3
2300,,3127280,8,2300,37.597562,,–,55.879981,1.0,"24,8",1.0,1.2789578489114066,"17,4",1,0,,20,18
2301,1.0,3224000,8,2301,37.596489,1.0,6,55.879824,1.0,"24,8",1.0,1.2789578489114066,"11,4",1,0,0.0,20,17
